band,space_id,orid,sha,n_claims,logbook_chars,prompt_chars,truncated,in_pilot
m=2,Edd16/icml2026-zCkFbxKeF5-repro,zCkFbxKeF5,03293850b2cd11bae14e61d58ac43ecb050d1189,3,3779,4984,False,True
m=2,sugan04/ICML2026_83_repro,TxHOT32Maj,086867b0702fe23f233f453cbd88cb1a50067452,4,4346,6115,False,True
m=2,Sor0ush/repro-gauge-equivariant-graph-networks-self-interference-cancellation,hFocSMm1Ke,84aa5f9ebf79ab1536016f4f24e5e38e5c79937d,6,24571,26860,False,True
m=2,binzhango/repro-less-token-more-signal-step-judge,4iupzej9nT,df3d10cf31e183f73c44007eea755171f5b1c933,2,46611,47621,False,True
m=2,Srishti280992/repro-strat-reasoner,V0eGsz18uZ,3e418c14cc228044690d099f7ee42bb30a64b23c,6,69662,71510,False,True
m=2,Edd16/icml2026-NUDNFusCDu-repro,NUDNFusCDu,ad17d8b230f6e7d693080c2ad372b216db89903f,6,8715,10740,False,True
m=2,ICML-2026-agent-repro/simplegpt-repro-logbook,bT6JcLswlW,0cc8a32521fbfae8645600cde64ff40b4b513497,6,50907,52734,False,True
m=2,divaspoudel/repro-physics-from-video-identifiability,xrXxqLadvS,b55b76bc31aaaa58cf7479187ff20ff82a6ccd79,5,8110,10171,False,True
m=2,imcypr/O88FCPAPAj,O88FCPAPAj,e3341a10ac8e01cb46fc6e0b487f09a5928881b7,5,40361,42065,False,True
m=2,RyeCatcher/repro-keeping-a-secret-requires-a-good-memory-unconditional-streaming-lower-bounds-for-different,JiB2eXY8fT,07cc266c50883c4395021d26eff9566ff3cf1f85,5,10070,11986,False,True
m=2,RyeCatcher/repro-deep-networks-learn-deep-hierarchical-models,hGcJZQSgLo,ba205491a2594340a88fefbd35e577151d61155b,5,11990,13808,False,True
m=2,SabaPivot/repro-renf-rethinking-the-design-of-neural-long-term-time-series-forecasters,emDhH9VFqm,f9fd6b2e7c24246411820b426ea1496934b99b19,6,21026,23020,False,True
m=2,jomasego/repro-temper-then-tilt,7Oc4ARFCTV,830b01549b2760b3ee3255d79f5191c1be7ec58c,6,15371,17584,False,True
m=2,bertfil/5PfEQzE9bf,5PfEQzE9bf,aef763503c99611f43d2b3f012703beb7f2f0d57,6,27969,29707,False,True
m=2,Srishti280992/repro-data-provenance-auditing-fine-tuned-llms,3D0x8oxOYH,3452ef4b8a7205da30653d58ace9710634f63d1d,6,120036,122275,True,True
